instruction,output,url
최종평가 시 주관연구책임자 대신 공동연구책임자가 발표 할 수 있나요?,"평가는 주관연구책임자 발표가 원칙이며, 부득이한 경우(사고, 부고, 천재지변 등)가 발생했을 때에는 발표자가 주관연구책임자의 대리 확인서를 지참하고, 과제 평가위원의 동의하에 최종평가에 참여할 수 있습니다.",
특별평가는 어떤 경우에 실시하게 되나요?,"특별평가의 경우 연구개발과제의 변경 및 중단 여부를 결정하기 위하여 실시하게 됩니다.
연구과제를 수행하는 중 국가연구개발사업 관련 부정행위가 발생하거나, 참여제한의 확정 등 연구개발과제를 계속하여 수행하는 것이 불가능하다고 인정되는 경우 평가를 실시할 수 있으며, 연구개발기관에서도 연구환경 변화, 연구수행 불필요ㆍ불가능 등의 사항에 따라 특별평가를 요청할 수 있습니다.",
초과 달성한 실적은 평가점수에 어떻게 반영되나요?,"정량적평가 점수에는 초과 달성한 실적은 점수에 반영되지 않으나, 정성평가의 평가항목 중 ‘연구수행결과 목표의 달성도’에 반영될 수 있습니다.",
"최종보고서를 3년차의 연구내용만을 보고서로 제출한 후, 통합한 최종보고서를
별도로 제출하나요? 전체결과를 통합한 최종보고서만 제출하나요?","최종보고서는 전체연구 내용 및 결과를 통합하여 작성한 보고서입니다. ①최종보고서, ②연구개발보고서 초록, ③자체평가 의견서, ④연구성과활용계획서를 작성하시고, 협약 종료 후 60일 이내에 반드시 제출하시기 바랍니다.",
공개유보(비공개) 승인 받은 경우에도 최종보고서를 배포해야 되나요?,"농기평, 농림축산식품부 자료실, 국가기록원, 국립중앙도서관, 국회도서관, 한국농수산대학도서관에 필수로 배포를 해야하며, 비공개 기간 동안에는 필수배포 기관 외 기관ㆍ단체ㆍ개인에게 배포하지 않습니다.",
"연구비 집행 건에 대해 이체를 실행할 경우 반드시 기관 관리자 아이디로 들어가서 해야
되나요?","당초에는 연구비 이체 실행 권한이 연구수행기관 관리자와 펌뱅킹 관리자에게만 주어졌으나, 지금은 기관 관리자, 연구책임자 및 펌뱅킹 관리자에게 권한이 부여되어 이체가 가능합니다.
다만, 과제 관리자의 경우에는 연구비 이체 등의 권한이 부여되지 않으니 참고하여 주시기 바랍니다.",
연구비 지급 유형 중 일괄지급과 건별지급의 차이는 무엇인가요?,"일괄지급기관은 정부(지자체), 대학, 출연(연) 등을 말하며, 자체적인 연구비 집행관리 및 연구비 집행 사후검증 관리가 가능합니다. 또한, 주관연구개발기관의 연구비 관리계좌와 주관연구개발기관의 자체 회계시스템을 활용합니다.
건별지급기관은 기업(대/중견/중소), 학회, 협회 등을 말하며, 연구비 집행정보 입력 후, 연구비 집행 사전 모니터링을 합니다. 또한, 통합 Ezbaro시스템 내 연구비 제원별 계좌와 통합 Ezbaro시스템에서 징햅 후 펌뱅킹을 하게 됩니다.",
FRIS시스템과 연구비통합합관리시스템(EZbaro)에서의‘과제 수행 중’상태는 무엇을 의미하나요?,"FRIS시스템에서 협약과제정보 입력 및 협약이 완료되어 사업담당자가 ‘과제 수행 중’ 상태로 변경하면, FRIS시스템과 연동되어 있는 연구비통합관리시스템(EZbaro) 에서도 ‘과제 수행 중’ 으로 상태가 변경되고 이때, 연구비카드 발급이 가능한 상태를 의미합니다.",
참여연구원이 퇴사함에 따라 퇴사한 참여연구원이 발급받은 카드를 재사용해도 되나요?,"참여연구원 퇴사로 인해 과제에 미참여하게 된다면 발급받은 카드의 재사용은 불가능합니다. 다만, 신규 참여연구원이 카드를 사용하고자 한다면 추가발급을 받으셔야 합니다.",
연구비카드 발급 전 연구비 사용은 어떻게 진행해야 하나요?,"연구개발비 카드사용이 원칙이나, 부득이한 경우에는 기관법인카드 및 계좌이체 방식으로
사용하되 ‘연구개발비 카드 미사용사유서’를 작성ㆍ관리해야 합니다.",
연구개발기관이 과세사업자이면 부가세 환급신청이 가능한가요?,연구개발기관이 과세사업자인 경우에는 연구비 관련 부가가치세에 대한 매입세액 공제가 가능합니다. 이때 공제받은 부가세의 경우 연구비로 재사용이 가능합니다.,
대학이 위탁연구개발기관인 경우 부가세는 어떻게 처리해야 하나요?,"연구활동비에 계상하고 집행이 가능합니다. 다만, 새로운 학술 또는 기술에 대한
연구용역인 경우 부가세가 적용되지 않습니다.(부가가치세법 시행규칙 제32조)",
"연구과제추진비, 연구활동비로 카드를 사용하고 부가가치세를 환급받는다면 연구비의 사용이 불가하고 정산 시 반납하는 건가요?","연구개발기관이 과세사업자인 경우에는 세금계산서뿐만 아니라 연구비카드 사용분에 대해서도 부가가치세에 대한 매입세액 공제가 가능합니다. 따라서 연구비카드 사용분의 부가가치세에 대해서도 연구비 계좌로 해당금액을 입금하여 해당단계 연구비로 사용하거나, 연구비로 사용하지 않는 경우에는 정산 시 사용 잔액으로 반납하시면 됩니다.",
"협약 시, 계상오류로 간접비 등을 초과계상 하였으면 정산 시 문제가 되나요?","협약 시, 초과로 계상된 간접비, 연구수당, 위탁연구개발비는 초과된 비율만큼 회수조치됩니다.",
연구수행 중 학생인건비 통합관리기관 지정이 취소된 경우 협약 변경을 해야 하나요?,"협약변경 사항은 아니며, 학생인건비 통합관리기관 지정 취소가 된 날로부터 다른 세목과 동일하게 관리 및 정산을 하면 됩니다.",
연구기간 중간에 참여연구원이 승진을 하였습니다. 이 경우 연구수당을 증액할 수 있나요?,"인건비를 연구개발계획서 상의 금액보다 증액한 경우에도 연구수당을 증액할 수 없으며, 참여연구원이 승진하여 인건비가 증액되었더라도 연구수당을 증액 할 수 없습니다.",
"연구개발계획서 작성 시 연구수당을 인건비의 10%만 계상하고 연구 수행 중 인건비를 감액하였는데, 연구수당이 감액된 인건비의 20%를 초과하지 않았을 경우에도 연구수당을 감액해야하나요?","연구개발계획서 상의 금액보다 인건비가 감액되었다 하더라도 실지급 인건비의 20% 이내에서는 연구수당 지급이 가능합니다. 다만, 당초 연구개발계획서 상의 연구수당 금액을 초과하여 지급하게 되면, 부당집행으로 회수 대상 금액이 됩니다.",
당해연도 연구비가 남으면 잔액 모두 이월 가능한가요?,"이월은 해당연차 현금 연구개발비의 직접비 이내에서 인정이 되며, 단계이월의 경우, 간접비는 이월이 불가능 합니다",
공동연구개발기관인 경우에도 별도로 회계기관 지정 및 정산처리를 해야 하는지?,"회계기관 지정은 주관연구개발기관 기준으로 지정과 비용지급이 이루어지며, 주관연구개발기관에서 공동, 위탁과제의 자료를 취합하여 처리해야 합니다.",
정산 서류들은 어떻게 보내야하나요?,"연구비 집행관련 증빙서류들을 이지바로시스템에 업로드해주시면 됩니다. 증빙서류 제출 후에는 회계법인에서 1차적으로 서류들을 검토하고 있습니다. 다만, 추가 확인이 필요한부분이 발생할 경우에는 추가 자료를 별도로 요청할 수 있으니 참고하여 주시기 바랍니다.",
회계기관에 제출한 증빙서류는 별도로 보관해야하나요?,규정에 의해 연구개발기관에서는 정산 서류 일체를 해당 연구과제 종료 후 5년간 보존하도록 되어있습니다.,
정산서류 제출은 어떻게 해야 하나요?,"정산서류는 통합 EZbaro 시스템에 증빙 관련 자료를 업로드 하시고, 미 업로드 된 사항에 대해서는 우편 및 택배를 이용하여 회계기관에 정산서류 사본을 제출하면 됩니다. 정산서류 원본은 별도 보관하고 계시면 됩니다.",
집행관련 증빙서류도 농기평에 제출해야 하나요?,집행관련 증빙서류는 농기평이 별도로 요청하는 경우에만 제출하면 됩니다.,
정산금액 반납은 주관연구개발기관이 일괄적으로 반납해야 하나요?,해당연구의 세부과제별 가상계좌가 부여되므로 각 연구개발기관별로 반납하면 됩니다.,
사용잔액은 전액 반납해야 하는 건가요?,"사용잔액 중에서 정부지원연구개발비 지분을 확인하시고 반납하시면 됩니다. 정부지원
연구개발비 지분은 사용잔액×(정부지원연구개발비/연구개발비 중 현금)으로 계산합니다.",
"정산금액을 초과해서 반납했을 경우, 어떻게 해야 합니까?","초관반납 된 금액을 확인하신 후, 연구기관에서 농기평에 공문으로 반환요청을 신청하시면 확인 후 반환처리를 해드립니다.",
계속수행과제의 경우도 연구성과를 입력해야 하나요?,"계속수행과제의 경우에도 IRIS시스템-과제수행-성과등록에서 성과를 입력하여야 하며, 입력한 성과를 기준으로 과제의 단계평가 및 최종평가에 활용합니다.",
각 주관ㆍ공동 기관에서 개발한 무형적 결과물(지식재산권)에 대한 소유는 어떻게 되나요?,"협약에 따라 각 주관ㆍ공동연구기관의 소유로 합니다. 다만, 주관ㆍ공동연구기관에서 공동으로 개발한 성과에 대해서는 공동소유가 가능합니다.",
연구성과 정보 입력은 언제 해야하나요?,"연구성과가 도출되면 상시 입력할 수 있습니다. 연구과제가 시작된 연도부터 과제가 종료된 후 5년간 매년 2월 말일까지 성과활용보고서를 제출하여야 하며, 지식재산권의 경우는 출원(등록) 신청서와 그 사실을 증명할 수 있는 서류를 출원(등록) 후 6개월 이내에 농기평으로 제출해야 합니다.",
"각 성과(특허, 논문)의 기여율 조정은 어떻게 하나요?","각 부처별 성과 등록을 완료한 이후에 중복 성과에 대해서는 연구자에게 사업별 성과기여율 조정을 요청하게 됩니다. 연구자는 동일성과에 대해서 사업별로 등록한 건수와 상관없이 해당 성과의 합이 100%가 되도록 조정하여 그 결과를 농기평에 알려야 합니다. 단, 연구자의 회신이 없는 경우에는 중복 등록한 사업에 대한 성과는 동일하게 1/n로 조정하여 처리합니다.",
